"Table 1.14. Gross Value Added of Domestic Corporate Business in Current Dollars and Gross Value Added of Nonfinancial Domestic Corporate Business in Current and Chained Dollars"
"[Billions of dollars]" 
"Bureau of Economic Analysis" 
"Last Revised on: December 22, 2015 - Next Release Date January 29, 2016"
"Line"," ","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"35","        Inventory valuation adjustment",0.5,3.3,2.4,1.0,-2.1,-0.6,-0.2,-0.7,0.0,1.0,-0.7,-0.2,-2.5,-1.2,-0.8,-0.3,-0.6,-5.3,-5.9,-2.2,1.9,-5.0,-1.2,1.0,-1.0,-0.3,-1.7,-2.7,-1.5,-0.3,-0.3,-0.2,0.3,0.0,0.1,-0.5,-1.2,-2.1,-1.6,-3.7,-5.9,-6.6,-4.6,-6.6,-19.6,-38.2,-10.5,-14.1,-15.7,-23.7,-40.1,-42.1,-24.6,-7.5,-7.4,-4.0,0.0,7.1,-16.2,-22.2,-16.3,-12.9,4.9,-2.8,-4.0,-12.4,-18.3,3.1,14.1,15.7,-4.0,-16.8,8.0,6.1,-9.6,-39.5,-32.1,-35.7,-39.5,-37.0,6.7,-41.0,-68.3,-14.2,3.2,-2.9
"36","        Capital consumption adjustment",-0.6,-0.3,0.0,0.1,0.1,-0.1,-0.1,-0.1,-0.5,-0.6,-0.5,-0.6,-0.6,-0.5,-0.2,0.5,0.6,-2.1,-2.6,-3.0,-2.8,-2.8,-3.0,-2.6,-1.9,-1.0,0.5,-0.3,-0.5,-0.9,-0.2,1.0,1.8,4.8,6.0,6.8,7.4,7.8,7.8,7.5,7.6,6.5,6.0,7.9,6.8,2.4,-5.4,-7.8,-7.0,-8.1,-12.0,-17.1,-4.5,5.0,23.3,43.6,64.8,51.1,51.4,48.7,41.2,26.0,17.1,15.5,20.1,32.6,36.0,44.2,54.8,60.3,68.0,50.9,55.4,112.1,96.5,68.2,-143.5,-169.2,-179.9,-60.4,-82.2,-53.3,78.1,-118.5,-127.5,-131.9
" ","    Nonfinancial corporate business:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"37","        Profits before tax (without IVA and CCAdj)",9.0,3.7,0.0,-2.0,1.0,2.6,3.6,6.1,6.5,3.3,6.5,9.3,17.1,20.7,24.0,22.6,18.3,22.7,29.7,32.5,25.6,39.2,39.9,35.0,36.5,33.7,43.8,44.1,42.1,36.1,45.6,42.3,42.3,46.8,52.0,58.2,69.1,75.1,71.6,79.4,76.4,63.7,73.5,86.9,110.1,123.3,119.7,154.1,176.8,206.8,224.8,212.0,216.6,172.5,192.6,227.0,205.0,170.4,222.5,264.5,244.0,238.3,232.4,257.1,309.1,397.9,452.0,488.9,527.1,486.4,489.6,451.2,325.3,359.5,496.3,700.2,1004.6,1180.1,1093.5,880.3,752.5,1039.2,1009.0,1241.4,1323.2,1366.1
"38","        Profits after tax (without IVA and CCAdj)",7.9,2.9,-0.5,-2.3,0.5,1.9,2.8,4.9,5.1,2.4,5.1,6.6,9.8,9.6,10.3,10.1,8.1,14.1,18.9,20.8,16.4,22.4,18.8,17.3,18.1,18.2,23.6,24.2,23.1,20.0,24.9,23.1,22.8,26.2,29.3,34.3,42.0,45.6,43.8,45.8,43.1,36.4,43.5,53.1,69.7,80.4,77.8,100.6,116.2,139.2,154.1,143.8,150.7,123.8,130.9,151.0,134.0,94.1,128.2,160.5,142.8,139.9,143.8,162.6,201.1,265.5,311.7,336.0,365.7,327.7,318.2,281.0,214.0,262.4,363.4,513.2,732.7,872.4,799.7,652.9,574.7,818.6,780.2,974.7,1038.6,1049.9
"39","        Inventory valuation adjustment",0.5,3.3,2.4,1.0,-2.1,-0.6,-0.2,-0.7,0.0,1.0,-0.7,-0.2,-2.5,-1.2,-0.8,-0.3,-0.6,-5.3,-5.9,-2.2,1.9,-5.0,-1.2,1.0,-1.0,-0.3,-1.7,-2.7,-1.5,-0.3,-0.3,-0.2,0.3,0.0,0.1,-0.5,-1.2,-2.1,-1.6,-3.7,-5.9,-6.6,-4.6,-6.6,-19.6,-38.2,-10.5,-14.1,-15.7,-23.7,-40.1,-42.1,-24.6,-7.5,-7.4,-4.0,0.0,7.1,-16.2,-22.2,-16.3,-12.9,4.9,-2.8,-4.0,-12.4,-18.3,3.1,14.1,15.7,-4.0,-16.8,8.0,6.1,-9.6,-39.5,-32.1,-35.7,-39.5,-37.0,6.7,-41.0,-68.3,-14.2,3.2,-2.9
"40","        Capital consumption adjustment",-0.5,-0.2,0.0,0.2,0.2,0.0,-0.1,-0.1,-0.5,-0.5,-0.4,-0.5,-0.5,-0.3,0.0,0.6,0.8,-1.9,-2.4,-2.7,-2.6,-2.5,-2.7,-2.3,-1.6,-0.7,0.7,0.0,-0.2,-0.6,0.2,1.2,2.0,4.9,6.2,6.8,7.6,8.1,8.0,7.6,7.8,6.7,6.2,8.0,6.7,2.4,-4.9,-6.9,-5.9,-7.3,-10.6,-14.2,-2.1,8.2,25.4,45.9,66.0,52.8,53.1,52.2,46.5,36.7,29.8,31.3,34.5,45.3,44.2,50.3,51.9,55.7,60.8,45.7,48.7,102.8,96.7,81.5,-101.5,-129.4,-139.4,-29.1,-41.1,-15.2,98.3,-77.6,-89.6,-92.1
" ","    Value added, in billions of chained (2009) dollars:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41","        Gross value added of nonfinancial corporate business 2",358.1,333.3,301.3,255.9,249.5,284.3,309.3,353.5,382.9,355.0,396.3,447.2,538.3,611.2,679.9,691.8,641.3,621.1,664.0,715.5,708.8,800.6,845.3,877.4,942.4,933.0,1044.8,1080.9,1095.4,1054.0,1172.5,1212.1,1241.0,1346.1,1429.1,1529.4,1658.0,1780.6,1831.6,1950.4,2028.4,2010.8,2090.0,2248.4,2385.0,2348.8,2315.5,2505.0,2689.5,2864.2,2956.0,2927.1,3045.9,2979.4,3125.2,3403.6,3561.3,3654.2,3848.0,4084.4,4162.0,4222.2,4200.4,4328.5,4435.2,4708.1,4935.4,5224.7,5573.4,5889.8,6210.3,6550.6,6411.5,6466.3,6606.8,6904.1,7131.7,7406.3,7480.5,7383.9,6859.8,7240.0,7421.5,7720.9,7954.8,8207.3
"42","            Consumption of fixed capital 3",49.4,50.5,50.2,48.7,47.3,46.3,46.3,46.8,48.1,48.7,49.0,50.0,51.9,52.7,51.8,51.3,52.2,55.3,60.1,64.8,68.2,71.1,74.2,77.2,81.3,85.4,89.7,94.6,99.9,105.4,108.3,110.9,115.2,120.0,126.0,132.5,141.4,152.7,164.0,175.1,187.0,197.7,206.5,216.7,231.9,244.7,253.9,262.1,274.0,288.5,305.3,321.3,336.0,351.7,364.2,380.1,402.3,421.3,438.7,454.3,470.6,488.0,503.5,518.5,538.3,563.4,596.2,634.0,679.6,730.1,783.9,841.5,888.6,912.8,927.7,948.3,977.5,1015.1,1053.6,1083.4,1092.0,1093.5,1117.1,1144.7,1177.1,1212.8
"43","            Net value added 4",308.6,282.8,251.1,207.1,202.2,238.0,263.0,306.7,334.7,306.3,347.3,397.2,486.4,558.4,628.0,640.5,589.1,565.8,603.9,650.8,640.6,729.5,771.1,800.1,861.1,847.6,955.1,986.3,995.5,948.5,1064.2,1101.2,1125.7,1226.0,1303.1,1396.9,1516.6,1627.9,1667.6,1775.3,1841.3,1813.1,1883.5,2031.8,2153.2,2104.0,2061.6,2242.8,2415.5,2575.7,2650.7,2605.8,2709.9,2627.8,2761.0,3023.5,3159.0,3232.8,3409.3,3630.2,3691.5,3734.2,3696.9,3810.0,3896.9,4144.7,4339.3,4590.7,4893.8,5159.6,5426.4,5709.1,5522.9,5553.6,5679.1,5955.8,6154.2,6391.1,6426.9,6300.5,5767.8,6146.6,6304.5,6576.2,6777.7,6994.5
"Legend / Footnotes:"
"1. Estimates for financial corporate business and nonfinancial corporate business for 2000 and earlier periods are based on the 1987 Standard Industrial Classification (SIC); later estimates for these industries are based on the North American Industry Classification System (NAICS)."
"2. The current-dollar gross value added is deflated using the gross value added chain-type price index for nonfinancial industries from the GDP-by-industry accounts. For periods when this price index is not available, the chain-type price index for GDP goods and structures is used."
"3. Chained-dollar consumption of fixed capital of nonfinancial corporate business is calculated as the product of the chain-type quantity index and the 2009 current-dollar value of the corresponding series, divided by 100."
"4. Chained-dollar net value added of nonfinancial corporate business is the difference between the gross product and the consumption of fixed capital."
"IVA Inventory valuation adjustment"
"CCAdj Capital consumption adjustment"
